,,,,,,,,,
34.64,1.00,9.07,1.00,72.00,1.00,13.03,1.00,66.00,53.00
30.72,1.00,9.08,1.00,62.00,1.00,12.78,2.00,69.00,41.40
25.04,1.00,8.46,1.00,91.00,1.00,20.22,1.00,63.00,47.58
33.57,1.00,7.87,1.00,81.00,1.00,23.28,1.00,69.00,47.48
22.82,1.00,7.18,1.00,52.16,1.00,17.41,1.00,63.00,55.76
20.50,1.00,7.11,1.00,44.63,1.00,17.84,1.00,66.00,55.65
29.61,1.00,9.31,1.00,81.11,2.00,22.34,4.00,59.81,49.37
19.16,1.00,6.03,1.00,48.60,1.00,14.16,1.00,56.23,32.03
27.70,1.00,9.48,1.00,84.71,2.00,17.55,1.00,52.92,43.45
32.48,1.00,5.86,1.00,77.58,1.00,18.77,1.00,69.23,41.85
55.74,1.00,9.10,1.00,78.00,1.00,17.90,1.00,92.00,48.53
26.27,1.00,6.48,1.00,76.00,2.00,17.64,2.00,57.64,31.33
28.55,1.00,6.41,1.00,105.00,1.00,23.95,1.00,61.00,54.24
22.19,1.00,5.97,1.00,75.69,1.00,12.79,1.00,42.70,43.37
32.65,1.00,7.52,1.00,78.12,1.00,18.24,1.00,68.73,43.90
37.00,1.00,8.57,1.00,110.10,1.00,26.85,2.00,56.38,39.26
43.80,1.00,5.35,2.00,96.52,2.00,13.43,3.00,47.83,43.89
21.36,1.00,9.29,1.00,85.57,1.00,15.79,2.00,54.80,30.51
37.10,1.00,7.94,1.00,136.27,1.00,18.25,3.00,68.90,38.30
28.46,1.00,8.93,1.00,80.02,1.00,26.75,2.00,57.06,35.87
